rating|progress|edition_id|year|pages|title|author|publisher|status|finished_at|cover_filename|slug|book_id
||12144165|2022|176|Ring Shout|P. Djèlí Clark|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/12162001/RING_SHOUT_GRITO_DE_LIBERDADE_169298928912162001SK-V11692989290B.jpg|ring-shout-12162001ed12144165.html|12162001
||1089012|2020|384|Vitorianas macabras|Charlotte Brontë|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/1086115/VITORIANAS_MACABRAS_15797851801086115SK1579785180B.jpg|vitorianas-macabras-1086115ed1089012.html|1086115
||122641785|2026|308|Os Nomes|Florence Knapp|Record|want_to_read||https://skoob.s3.amazonaws.com/livros/122612479/9af769039cc5a5b36b809ea2e7a69b7e.jpg|os-nomes-122612479ed122641785.html|122612479
||122547376|2025|224|A Casa da Noite|Jo Nesbo|Record|want_to_read||https://skoob.s3.amazonaws.com/livros/122557362/A_CASA_DA_NOITE_816676341B.jpg|a-casa-da-noite-122557362ed122547376.html|122557362
4.5|100.0|557675|2016|368|Guerra do Velho|John Scalzi|Aleph|read|2026-05-26T02:56:35.380Z|https://skoob.s3.amazonaws.com/livros/547701/GUERRA_DO_VELHO_1458756576547701SK1458756576B.jpg|guerra-do-velho-547701ed557675.html|547701
1.5|100.0|765930|2018|352|Quebrando o Hábito de Ser Você Mesmo|Joe Dispenza|Citadel Grupo Editorial|read|2026-06-04T00:58:19.641Z|https://skoob.s3.amazonaws.com/livros/567915/QUEBRANDO_O_HABITO_DE_SER_VOCE_1520287265567915SK1520287265B.jpg|quebrando-o-habito-de-ser-voce-mesmo-567915ed765930.html|567915
||40631|2009|264|O andar do bêbado|Leonard Mlodinow|Zahar|want_to_read||https://skoob.s3.amazonaws.com/livros/37134/O_ANDAR_DO_BEBADO_142236016637134SK1422360166B.jpg|o-andar-do-bebado-37134ed40631.html|37134
||122435040|2019|412|Iludidos Pelo Acaso|Nassim Nicholas Taleb|Objetiva|want_to_read||https://skoob.s3.amazonaws.com/livros/1004635/ILUDIDOS_PELO_ACASO_17104661971004635SK-V11710466199B.jpg|iludidos-pelo-acaso-1004635ed122435040.html|1004635
||11843806|2012|641|Rápido e devagar: Duas formas de pensar|Daniel Kahneman|Objetiva|want_to_read||https://skoob.s3.amazonaws.com/livros/686726/RAPIDO_E_DEVAGAR_DUAS_FORMAS__1615833798686726SK-V11615833800B.jpg|rapido-e-devagar-duas-formas-de-pensar-686726ed11843806.html|686726
||12041602|2021|425|Pense de novo (eBook)|Adam Grant|Sextante|want_to_read||https://skoob.s3.amazonaws.com/livros/11995990/PENSE_DE_NOVO_3821221795B.jpg|pense-de-novo-ebook-11995990ed12041602.html|11995990
||122246486|2022|288|Pensar em apostas|Annie Duke|Alta Books|want_to_read||https://skoob.s3.amazonaws.com/livros/122240294/PENSAR_EM_APOSTAS_1670611398122240294SK-V11670611399B.jpg|pensar-em-apostas-122240294ed122246486.html|122240294
||106435|2012|320|O Dilema da inovação|Clayton M Christensen|M.Books|want_to_read||https://skoob.s3.amazonaws.com/livros/96192/O_DILEMA_DA_INOVACAO_1352400920B.jpg|o-dilema-da-inovacao-96192ed106435.html|96192
||563382|2016|352|Superprevisões|Philip E. Tetlock, Dan Gardner|Objetiva|want_to_read||https://skoob.s3.amazonaws.com/livros/561605/SUPERPREVISOES_1455760847561605SK1455760847B.jpg|superprevisoes-561605ed563382.html|561605
||12199306|2022|288|Bom demais para ser ignorado|Cal Newport|Alta Books|want_to_read||https://skoob.s3.amazonaws.com/livros/12218197/BOM_DEMAIS_PARA_SER_IGNORADO_165971157412218197SK-V11659711575B.jpg|bom-demais-para-ser-ignorado-12218197ed12199306.html|12218197
||952508|2019|320|Hábitos Atômicos|James Clear|Alta Life|want_to_read||https://skoob.s3.amazonaws.com/livros/944986/1d4442e4b606a7d62e1d51d718ba73bdB.jpg|habitos-atomicos-944986ed952508.html|944986
||599439|2016|336|Garra|Angela Duckworth|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/597884/GARRA_1468877163597884SK1468877163B.jpg|garra-597884ed599439.html|597884
||122586121|2025|336|Casas estranhas 2 (Casas Estranhas #2)|Uketsu|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/122584416/O_MISTERIO_DAS_ONZE_PLANTAS_BA_1751118745122584416SK-V11751118745B.jpg|casas-estranhas-2-casas-estranhas-2-122584416ed122586121.html|122584416
||689966|2017|1595|A Revolta de Atlas|Ayn Rand|Arqueiro|want_to_read||https://skoob.s3.amazonaws.com/livros/132744/A_REVOLTA_DE_ATLAS_1497295943132744SK1497295944B.jpg|a-revolta-de-atlas-132744ed689966.html|132744
||338014|2013|720|Ilíada|Frederico Lourenço|Penguin-Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/1825/ILIADA_17571266801825SK-V11757126682B.jpg|iliada-1825ed338014.html|1825
||216407|2011|576|Odisseia|Homero|Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/749/ODISSEIA_1757126601749SK-V11757126605B.jpg|odisseia-749ed216407.html|749
||122264972|2022|446|A casa dos espíritos|Isabel Allende|Bertrand Brasil|want_to_read||https://skoob.s3.amazonaws.com/livros/896/A_CASA_DOS_ESPIRITOS_1674397217896SK-V11674397218B.jpg|a-casa-dos-espiritos-896ed122264972.html|896
||740815|2017|368|É assim que acaba (É Assim Que Acaba #1)|Colleen Hoover|Galera Record|want_to_read||https://skoob.s3.amazonaws.com/livros/738219/_ASSIM_QUE_ACABA_1513368780738219SK1513368780B.jpg|e-assim-que-acaba-e-assim-que-acaba-1-738219ed740815.html|738219
||122602929|2025|352|Grupo de Apoio a Serial Killers|Saratoga Schaefer|Mood|want_to_read||https://skoob.s3.amazonaws.com/livros/122599820/GRUPO_DE_APOIO_A_SERIAL_KILLER_1756724972122599820SK-V11756724974B.jpg|grupo-de-apoio-a-serial-killers-122599820ed122602929.html|122599820
4.0|100.0|122581416|2025|368|No meio da noite|Riley Sager|Intrínseca|read|2026-05-14T01:43:22.212Z|https://skoob.s3.amazonaws.com/livros/122580184/NO_MEIO_DA_NOITE_1749520135122580184SK-V11749520136B.jpg|no-meio-da-noite-122580184ed122581416.html|122580184
||12124040|2022|384|Morte No Internato|Lucinda Riley|Arqueiro|want_to_read||https://skoob.s3.amazonaws.com/livros/12140697/MORTE_NO_INTERNATO_164941812812140697SK-V11649418129B.jpg|morte-no-internato-12140697ed12124040.html|12140697
||612280|2016|336|A Garota no Gelo (Detetive Erika Foster #1)|Robert Bryndza|Gutenberg|want_to_read||https://skoob.s3.amazonaws.com/livros/611870/A_GAROTA_NO_GELO_1661873533611870SK-V11661873534B.jpg|a-garota-no-gelo-detetive-erika-foster-1-611870ed612280.html|611870
4.5|100.0|122587379|2025|320|Nós já moramos aqui|Marcus Kliewer|Intrínseca|read|2026-05-01T22:03:29.470Z|https://skoob.s3.amazonaws.com/livros/122454177/NOS_JA_MORAMOS_AQUI_1751496754122454177SK-V11751496755B.jpg|nos-ja-moramos-aqui-122454177ed122587379.html|122454177
3.5|100.0|680842|2017|144|Assim na terra como embaixo da terra|Ana Paula Maia|Record|read|2026-04-20T04:06:48.025Z|https://skoob.s3.amazonaws.com/livros/678629/ASSIM_NA_TERRA_COMO_EMBAIXO_DA_1494341978678629SK1494341979B.jpg|assim-na-terra-como-embaixo-da-terra-678629ed680842.html|678629
||122510798|2024|288|Como sobreviver a um filme de terror|Scarlett Dunmore|Mood|want_to_read||https://skoob.s3.amazonaws.com/livros/122509984/COMO_SOBREVIVER_A_UM_FILME_DE__1728076865122509984SK-V11728076865B.jpg|como-sobreviver-a-um-filme-de-terror-122509984ed122510798.html|122509984
4.5|100.0|122610226|2025|92|A vida de Chuck|Stephen King|Suma|read|2026-04-19T03:00:00.000Z|https://skoob.s3.amazonaws.com/livros/122606665/210eeac549b9cc23d54b2635e19e0013.jpg|a-vida-de-chuck-122606665ed122610226.html|122606665
||122448118|2025|400|Katabasis|R.F. Kuang|HarperVoyager|want_to_read||https://skoob.s3.amazonaws.com/livros/122442868/KATABASIS_1738777025122442868SK-V11738777025B.jpg|katabasis-122442868ed122448118.html|122442868
4.0|100.0|122475307|2024|336|A casa dos sonhos|Claire Douglas|Trama|read|2026-04-14T03:40:50.522Z|https://skoob.s3.amazonaws.com/livros/122473043/A_CASA_DOS_SONHOS_1720636032122473043SK-V11720636033B.jpg|a-casa-dos-sonhos-122473043ed122475307.html|122473043
4.0|100.0|1110468|2020|240|Assassinato no Expresso do Oriente|Agatha Christie|HarperCollins Brasil|read|2026-03-29T19:13:55.456Z|https://skoob.s3.amazonaws.com/livros/1043/ASSASSINATO_NO_EXPRESSO_DO_ORI_15812121671043SK1581212171B.jpg|assassinato-no-expresso-do-oriente-1043ed1110468.html|1043
|31.0|122526052|2024|516|O caso Altamira|Ivan Mizanzuk|HarperCollins Brasil|reading||https://skoob.s3.amazonaws.com/livros/122524093/O_CASO_ALTAMIRA_1732452639122524093SK-V11732452640B.jpg|o-caso-altamira-122524093ed122526052.html|122524093
||439488|2014|384|O Rei Demônio (Os Sete Reinos #1)|Cinda Williams Chima|Suma de Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/388275/O_REI_DEMONIO_1399408723B.jpg|o-rei-demonio-os-sete-reinos-1-388275ed439488.html|388275
4.5|100.0|5516|2013|336|2001 (Uma Odisseia no Espaço #1)|Arthur C. Clarke|Aleph|read|2026-04-26T13:08:03.662Z|https://skoob.s3.amazonaws.com/livros/4457/2001_UMA_ODISSEIA_NO_ESPACO_15252276204457SK1525227623B.jpg|2001-uma-odisseia-no-espaco-1-4457ed5516.html|4457
||972845|2019|320|O fim da infância|Arthur C. Clarke|Aleph|want_to_read||https://skoob.s3.amazonaws.com/livros/3589/O_FIM_DA_INFANCIA_16415847413589SK-V11641584742B.jpg|o-fim-da-infancia-3589ed972845.html|3589
||11059|2007|240|Crash|J. G. Ballard|Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/9787/CRASH_1232686393B.jpg|crash-9787ed11059.html|9787
||156467|2000|248|Desonra|J.M. Coetzee|Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/2698/DESONRA_15984564442698SK1598456445B.jpg|desonra-2698ed156467.html|2698
||11776295|2021|592|Os Inovadores|WALTER ISAACSON|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/413706/OS_INOVADORES_3092915427B.jpg|os-inovadores-413706ed11776295.html|413706
||124846|2010|432|Como Ler Livros|Mortimer J. Adler|É Realizações|want_to_read||https://skoob.s3.amazonaws.com/livros/112376/COMO_LER_LIVROS_1513536555112376SK1513536556B.jpg|como-ler-livros-112376ed124846.html|112376
3.5|100.0|725614|2017|208|Cartas de um Diabo a seu aprendiz|C. S. Lewis |Thomas Nelson Brasil|read|2026-03-13T13:20:09.087Z|https://skoob.s3.amazonaws.com/livros/273/CARTAS_DE_UM_DIABO_A_SEU_APRENDIZ_991965342B.jpg|cartas-de-um-diabo-a-seu-aprendiz-273ed725614.html|273
||733574|2017|153|Procrastinação|Lilian Soares|ebook Kindle|want_to_read||https://skoob.s3.amazonaws.com/livros/731290/PROCRASTINACAO_1510869794731290SK1510869794B.jpg|procrastinacao-731290ed733574.html|731290
||12144120|2022|368|É assim que aprendemos|Stanislas Dehaene|Contexto|want_to_read||https://skoob.s3.amazonaws.com/livros/12161955/_ASSIM_QUE_APRENDEMOS_165219230012161955SK-V11652192301B.jpg|e-assim-que-aprendemos-12161955ed12144120.html|12161955
||887102|2019|256|O cérebro no mundo digital|Maryanne Wolf|Contexto|want_to_read||https://skoob.s3.amazonaws.com/livros/880895/O_CEREBRO_NO_MUNDO_DIGITAL_1558664181880895SK1558664181B.jpg|o-cerebro-no-mundo-digital-880895ed887102.html|880895
||13558|1996|496|Pálido Ponto Azul|Carl Sagan|Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/12234/PALIDO_PONTO_AZUL_1402429060B.jpg|palido-ponto-azul-12234ed13558.html|12234
||612158|2016|240|Amityville|Lorraine Warren|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/1671/AMITYVILLE_14737966841671SK1473796684B.jpg|amityville-1671ed612158.html|1671
||1190508|2015|279|Manual de persuasão do FBI|Jack Schafer|Universo dos Livros|want_to_read||https://skoob.s3.amazonaws.com/livros/1193831/b0956dad61788189ddbf6c647726858dB.jpg|manual-de-persuasao-do-fbi-1193831ed1190508.html|1193831
||1194011|2018|485|Por que nós dormimos|Matthew Walker|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/1197520/7ea1c9b57168169a1e4713a749bff2e6B.jpg|por-que-nos-dormimos-1197520ed1194011.html|1197520
||259328|2012|416|A Física do Futuro|Michio Kaku|Rocco|want_to_read||https://skoob.s3.amazonaws.com/livros/231931/A_FISICA_DO_FUTURO_1334115897B.jpg|a-fisica-do-futuro-231931ed259328.html|231931
3.5|100.0|951101|2017|262|50 Ideias de Matemática Que Você Precisa Conhecer|Tony Crilly|Editora Planeta|read|2026-05-27T16:21:06.639Z|https://skoob.s3.amazonaws.com/livros/943643/a117a62d7534a70a8c92aaf2610a9878B.jpg|50-ideias-de-matematica-que-voce-precisa-conhecer-943643ed951101.html|943643
||777317|2015|247|Uma Breve História do Tempo (eBook)|Stephen Hawking|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/772938/UMA_BREVE_HISTORIA_DO_TEMPO_1524444642772938SK1524444643B.jpg|uma-breve-historia-do-tempo-ebook-772938ed777317.html|772938
||122543548|2021|123|Dez dias num Hospício|Nellie Bly|Fósforo|want_to_read||https://skoob.s3.amazonaws.com/livros/1285505/DEZ_DIAS_NUM_HOSPICIO_17372264431285505SK-V11737226444B.jpg|dez-dias-num-hospicio-1285505ed122543548.html|1285505
||936939|2019|352|Mortos Não Contam Segredos|Karen M. McManus|Galera Record|want_to_read||https://skoob.s3.amazonaws.com/livros/925073/MORTOS_NAO_CONTAM_SEGREDOS_1564561852925073SK1564561854B.jpg|mortos-nao-contam-segredos-925073ed936939.html|925073
||744309|2018|384|Um de nós está mentindo (Um De Nós #1)|Karen M. McManus|Galera Record|want_to_read||https://skoob.s3.amazonaws.com/livros/741533/UM_DE_NOS_ESTA_MENTINDO_1736999735741533SK-V11736999778B.jpg|um-de-nos-esta-mentindo-um-de-nos-1-741533ed744309.html|741533
||12205300|2022|520|Herdeiros do Tempo (Herdeiros do Tempo #1)|Adrian Tchaikovsky|Morro Branco|want_to_read||https://skoob.s3.amazonaws.com/livros/12224197/HERDEIROS_DO_TEMPO_166065684412224197SK-V11660656845B.jpg|herdeiros-do-tempo-herdeiros-do-tempo-1-12224197ed12205300.html|12224197
4.5|100.0|122603056|2025|352|Somos legião (somos Bob)|Dennis E. Taylor|Excelsior|read|2026-03-07T12:29:55.321Z|https://skoob.s3.amazonaws.com/livros/122599941/SOMOS_LEGIAO_SOMOS_BOB_1756752400122599941SK-V11756752400B.jpg|somos-legiao-somos-bob-122599941ed122603056.html|122599941
||122618041|2025|378|Com amor, mamãe|lliana Xander|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/122556217/b51da85735c3d7df7419166e9889da1c.jpg|com-amor-mamae-122556217ed122618041.html|122556217
4.0|100.0|1193129|2020|224|Coraline|Neil Gaiman|Intrínseca|read|2026-02-08T19:34:21.515Z|https://skoob.s3.amazonaws.com/livros/218759/CORALINE_1701648275218759SK-V11701648281B.jpg|coraline-218759ed1193129.html|218759
||621963|2016|384|Ultra Carnem|Cesar Bravo|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/621201/ULTRA_CARNEM_1476999648621201SK1476999648B.jpg|ultra-carnem-621201ed621963.html|621201
||122279944|2017|216|The Summer I Died|Ryan Thomas|Createspace Independent Publishing Platform|want_to_read|||the-summer-i-died-122274387ed122279944.html|122274387
||122634909|2023|299|Daughter's Drawings|Nick Botic|Independently published|want_to_read||https://skoob.s3.amazonaws.com/livros/122630731/bd3e6a0c12f21d1b0054b948b0172a5b.jpg|daughters-drawings-122630731ed122634909.html|122630731
||11897866|2017|324|The Black Farm|Elias Witherow|nao informado|want_to_read||https://skoob.s3.amazonaws.com/livros/11901584/THE_BLACK_FARM_167839728611901584SK-V11678397287B.jpg|the-black-farm-11901584ed11897866.html|11901584
3.5|100.0|122581587|2025|304|A chuva (Blackwater #6)|Michael McDowell|Arqueiro|read|2026-03-12T00:29:05.023Z|https://skoob.s3.amazonaws.com/livros/122580328/A_CHUVA_1751425810122580328SK-V11751425811B.jpg|a-chuva-blackwater-6-122580328ed122581587.html|122580328
4.0|100.0|122573268|2025|272|A fortuna (Blackwater #5)|Michael McDowell|Arqueiro|read|2026-03-11T14:40:18.663Z|https://skoob.s3.amazonaws.com/livros/122569551/A_FORTUNA_1749081934122569551SK-V11749081934B.jpg|a-fortuna-blackwater-5-122569551ed122573268.html|122569551
3.5|100.0|122565990|2025|272|A guerra (Blackwater #4)|Michael McDowell|Arqueiro|read|2026-02-17T23:16:22.266Z|https://skoob.s3.amazonaws.com/livros/122563006/A_GUERRA_1744321922122563006SK-V11744321922B.jpg|a-guerra-blackwater-4-122563006ed122565990.html|122563006
4.0|100.0|122558559|2025|256|A casa (Blackwater #3)|Michael McDowell|Arqueiro|read|2026-02-14T19:53:53.954Z|https://skoob.s3.amazonaws.com/livros/122556208/A_CASA_1741985576122556208SK-V11741985577B.jpg|a-casa-blackwater-3-122556208ed122558559.html|122556208
3.5|100.0|122580269|2025|197|O Dique|Michael McDowell|Arqueiro|read|2026-02-06T13:48:29.251Z|https://skoob.s3.amazonaws.com/livros/122579136/O_DIQUE_1749062035122579136SK-V11749062035B.jpg|o-dique-122579136ed122580269.html|122579136
||227470|2011|151|Neurociência e Educação|Ramon M. Cosenza; Leonor B. Guerra|Artmed|want_to_read||https://skoob.s3.amazonaws.com/livros/203572/NEUROCIENCIA_E_EDUCACAO_1597805676203572SK1597805676B.jpg|neurociencia-e-educacao-203572ed227470.html|203572
||750929|2018|288|Flores para Algernon|Daniel Keyes|Aleph|want_to_read||https://skoob.s3.amazonaws.com/livros/747864/FLORES_PARA_ALGERNON_1700530005747864SK-V11700530008B.jpg|flores-para-algernon-747864ed750929.html|747864
||490678|2015|286|Stoner|John Williams|Rádio Londres|want_to_read||https://skoob.s3.amazonaws.com/livros/433102/STONER__1457707840433102SK1457707840B.jpg|stoner-433102ed490678.html|433102
